Sample_Index,EXG_Channel_0,EXG_Channel_1,EXG_Channel_2,EXG_Channel_3,Accel_Channel_0,Accel_Channel_1,Accel_Channel_2,Timestamp,Timestamp_(Formatted)
49.0,-288.12189258635044,-271.6064943820238,-221.7012693732977,-134.51672160625458,0.0,0.0,0.0,1706389486.2284322, 2024-01-27 16:04:46.228
1.0,-372.97274278104305,-362.5010229051113,-298.1149052679539,-182.44727943837643,0.0,-0.9920000471174716,0.9920000471174716,1706389486.2868493, 2024-01-27 16:04:46.286
3.0,-365.3134276717901,-367.5872868448496,-300.4486028403044,-172.454266756773,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.3020136, 2024-01-27 16:04:46.302
5.0,-364.8347204774618,-376.7425619363785,-310.20226192474365,-167.0089724212885,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.3315067, 2024-01-27 16:04:46.331
7.0,-384.8805842399597,-383.50430105626583,-316.72464744746685,-178.49794508516788,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.345606, 2024-01-27 16:04:46.345
9.0,-394.634243324399,-376.86223873496056,-310.50145392119884,-190.76481693983078,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.3620484, 2024-01-27 16:04:46.362
11.0,-385.1797762364149,-374.408864364028,-306.49228116869926,-198.84300084412098,-0.9920000471174716,-0.7520000357180834,0.7520000357180834,1706389486.3916142, 2024-01-27 16:04:46.391
13.0,-371.5366211980581,-374.64821796119213,-311.57854510843754,-193.15835291147232,-0.7520000357180834,-0.7520000357180834,0.7520000357180834,1706389486.4058273, 2024-01-27 16:04:46.405
15.0,-371.357106000185,-384.5215538442135,-321.39204259216785,-185.73839139938354,-0.7520000357180834,-0.7520000357180834,0.7520000357180834,1706389486.4220445, 2024-01-27 16:04:46.422
17.0,-387.2142818123102,-385.359291434288,-320.01575940847397,-189.32869535684586,-0.7520000357180834,-0.7520000357180834,0.7520000357180834,1706389486.45128, 2024-01-27 16:04:46.451
19.0,-400.2590528577566,-384.2223618477583,-322.5888105779886,-204.82684077322483,-0.7520000357180834,-0.7520000357180834,0.7520000357180834,1706389486.465597, 2024-01-27 16:04:46.465
21.0,-384.0428466498852,-374.34902596473694,-306.79147316515446,-197.22736406326294,-0.7520000357180834,-0.8800000417977571,0.8800000417977571,1706389486.482056, 2024-01-27 16:04:46.482
23.0,-367.70696364343166,-373.93015716969967,-313.1941818892956,-192.0214233249426,-0.8800000417977571,-0.8800000417977571,0.8800000417977571,1706389486.5112696, 2024-01-27 16:04:46.511
25.0,-371.5366211980581,-386.49622102081776,-325.76024574041367,-192.55996891856194,-0.8800000417977571,-0.8800000417977571,0.8800000417977571,1706389486.5255997, 2024-01-27 16:04:46.525
27.0,-386.855251416564,-387.3339586108923,-317.68206183612347,-193.87641370296478,-0.8800000417977571,-0.8800000417977571,0.8800000417977571,1706389486.55836, 2024-01-27 16:04:46.558
29.0,-386.49622102081776,-368.9635700285435,-300.3289260417223,-188.49095776677132,-0.8800000417977571,-0.8800000417977571,0.8800000417977571,1706389486.5598714, 2024-01-27 16:04:46.559
31.0,-385.06009943783283,-375.60563234984875,-308.82597874104977,-194.5346360951662,-0.8800000417977571,-0.944000044837594,0.944000044837594,1706389486.6020308, 2024-01-27 16:04:46.602
33.0,-366.74954925477505,-374.2891875654459,-312.4761210978031,-189.62788735330105,-0.944000044837594,-0.944000044837594,0.944000044837594,1706389486.6034117, 2024-01-27 16:04:46.603
35.0,-370.81856040656567,-384.0428466498852,-320.79365859925747,-184.900653809309,-0.944000044837594,-0.944000044837594,0.944000044837594,1706389486.6329668, 2024-01-27 16:04:46.632
37.0,-385.5986450314522,-386.6757362186909,-322.8281641751528,-190.9443321377039,-0.944000044837594,-0.944000044837594,0.944000044837594,1706389486.6456103, 2024-01-27 16:04:46.645
39.0,-395.95068810880184,-378.11884512007236,-313.3736970871687,-196.98801046609879,-0.944000044837594,-0.944000044837594,0.944000044837594,1706389486.6619575, 2024-01-27 16:04:46.661
41.0,-400.91727524995804,-387.87250420451164,-318.2206074297428,-206.86134634912014,-0.944000044837594,-0.9600000455975533,0.9600000455975533,1706389486.6916227, 2024-01-27 16:04:46.691
43.0,-354.60235419869423,-367.8864788413048,-309.72355473041534,-198.5438088476658,-0.9600000455975533,-0.9600000455975533,0.9600000455975533,1706389486.705747, 2024-01-27 16:04:46.705
45.0,-295.8410460948944,-326.1192761361599,-282.37740625441074,-175.0871563255787,-0.9600000455975533,-0.9600000455975533,0.9600000455975533,1706389486.722008, 2024-01-27 16:04:46.722
47.0,-278.5477486997843,-304.8168059885502,-260.2371985167265,-168.80412440001965,-0.9600000455975533,-0.9600000455975533,0.9600000455975533,1706389486.7519984, 2024-01-27 16:04:46.751
49.0,-301.16666363179684,-307.8087259531021,-259.459299325943,-186.456452190876,-0.9600000455975533,-0.9600000455975533,0.9600000455975533,1706389486.7658584, 2024-01-27 16:04:46.765
51.0,-307.629210755229,-319.17802181839943,-265.3833008557558,-189.62788735330105,-0.9600000455975533,-0.9760000463575124,0.9760000463575124,1706389486.7821164, 2024-01-27 16:04:46.782
53.0,-306.1930891722441,-332.10311606526375,-278.6075870990753,-185.4990378022194,-0.9760000463575124,-0.9760000463575124,0.9760000463575124,1706389486.8305948, 2024-01-27 16:04:46.830
55.0,-309.2448475360871,-341.25839115679264,-287.82270058989525,-184.48178501427174,-0.9760000463575124,-0.9760000463575124,0.9760000463575124,1706389486.8320172, 2024-01-27 16:04:46.832
57.0,-325.5208921432495,-347.48158468306065,-293.1483181267977,-189.98691774904728,-0.9760000463575124,-0.9760000463575124,0.9760000463575124,1706389486.84201, 2024-01-27 16:04:46.842
59.0,-347.1225542873144,-347.8406150788069,-288.30140778422356,-199.14219284057617,-0.9760000463575124,-0.9760000463575124,0.9760000463575124,1706389486.8713913, 2024-01-27 16:04:46.871
61.0,-339.88210797309875,-344.36998791992664,-285.48900301754475,-198.18477845191956,-0.9760000463575124,-0.9920000471174716,0.9920000471174716,1706389486.8858802, 2024-01-27 16:04:46.885
63.0,-322.46913377940655,-343.2330583333969,-285.48900301754475,-185.02033060789108,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.9020498, 2024-01-27 16:04:46.902
65.0,-334.1974600404501,-361.78296211361885,-304.6971291899681,-184.54162341356277,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.9315228, 2024-01-27 16:04:46.931
67.0,-352.92687901854515,-364.0568212866783,-305.2955131828785,-185.61871460080147,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.945934, 2024-01-27 16:04:46.945
69.0,-365.7322964668274,-359.15007254481316,-296.97797568142414,-194.3551208972931,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.9621804, 2024-01-27 16:04:46.962
71.0,-361.30425491929054,-360.6460325270891,-297.45668287575245,-196.0305960774422,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389486.991366, 2024-01-27 16:04:46.991
73.0,-349.33657506108284,-362.8002149015665,-306.3726043701172,-194.8338280916214,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.0062523, 2024-01-27 16:04:47.006
75.0,-345.5069175064564,-368.18567083776,-311.9974139034748,-185.55887620151043,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.0220227, 2024-01-27 16:04:47.022
77.0,-372.2546819895506,-380.0336738973856,-317.8615770339966,-194.3551208972931,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.0517063, 2024-01-27 16:04:47.051
79.0,-375.00724835693836,-365.4331044703722,-301.7052092254162,-192.2009385228157,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.0655904, 2024-01-27 16:04:47.065
81.0,-366.9889028519392,-365.61261966824526,-300.38876444101334,-195.79124248027802,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.0820792, 2024-01-27 16:04:47.082
83.0,-361.1247397214174,-374.408864364028,-309.0054939389229,-195.01334328949451,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.111205, 2024-01-27 16:04:47.111
85.0,-355.1408997923136,-371.9554899930954,-314.57046507298946,-185.43919940292835,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.1269574, 2024-01-27 16:04:47.126
87.0,-376.98191553354263,-382.78624026477337,-313.2540202885866,-193.51738330721855,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.156342, 2024-01-27 16:04:47.156
89.0,-390.4455553740263,-376.08433954417706,-309.42436273396015,-206.56215435266495,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.171333, 2024-01-27 16:04:47.171
91.0,-382.78624026477337,-375.12692515552044,-305.7742203772068,-200.69799122214317,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.1859956, 2024-01-27 16:04:47.185
93.0,-371.11775240302086,-380.691896289587,-315.2885258644819,-201.95459760725498,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.202025, 2024-01-27 16:04:47.202
95.0,-373.6309651732445,-388.8897569924593,-323.4863865673542,-194.47479769587517,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.231528, 2024-01-27 16:04:47.231
97.0,-379.19593630731106,-376.4433699399233,-313.852404281497,-185.9777449965477,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.2460637, 2024-01-27 16:04:47.246
0.0,-390.4455553740263,-379.9139970988035,-306.5521195679903,-191.06400893628597,-0.9920000471174716,-0.9920000471174716,0.9920000471174716,1706389487.276308, 2024-01-27 16:04:47.276
2.0,-366.3905188590288,-377.46062272787094,-315.8869098573923,-181.3103498518467,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389487.2906656, 2024-01-27 16:04:47.290
4.0,-372.67355078458786,-376.9220771342516,-317.20335464179516,-181.84889544546604,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389487.3070824, 2024-01-27 16:04:47.307
6.0,-381.82882587611675,-369.801307618618,-303.97906839847565,-182.68663303554058,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389487.336311, 2024-01-27 16:04:47.336
8.0,-395.65149611234665,-377.9991683214903,-308.5267867445946,-192.9788377135992,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389487.3836102, 2024-01-27 16:04:47.383
10.0,-383.50430105626583,-379.01642110943794,-314.86965706944466,-193.7567369043827,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389487.3848789, 2024-01-27 16:04:47.384
12.0,-365.49294286966324,-380.3927042931318,-318.28044582903385,-184.84081541001797,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389487.396268, 2024-01-27 16:04:47.396
14.0,-389.966848179698,-391.2234545648098,-327.13652892410755,-191.54271613061428,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389487.4108937, 2024-01-27 16:04:47.410
