%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -392.53989934921265, -404.7469328045845, -206.56215435266495, -65.82223922014236, 0.0, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524199524E9, 0.0, 2024-01-16 19:27:32.419
0.0, -460.5163209438324, -400.1992144584656, -193.63706010580063, -89.03953814506531, 0.0, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524199524E9, 0.0, 2024-01-16 19:27:32.419
1.0, -373.15225797891617, -387.5134738087654, -186.456452190876, 24.89277410507202, 0.0, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705451252434554E9, 0.0, 2024-01-16 19:27:32.434
1.0, -346.10530149936676, -387.9921810030937, -199.86025363206863, -24.653420507907867, 0.0, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705451252434554E9, 0.0, 2024-01-16 19:27:32.434
2.0, -435.14483964443207, -376.98191553354263, -194.3551208972931, -94.784024477005, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524490538E9, 0.0, 2024-01-16 19:27:32.449
2.0, -396.60891050100327, -374.34902596473694, -176.6429547071457, 2.6328895688056946, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524490538E9, 0.0, 2024-01-16 19:27:32.449
3.0, -329.1111961007118, -386.5560594201088, -188.84998816251755, 21.30247014760971, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524497619E9, 0.0, 2024-01-16 19:27:32.449
3.0, -421.9803918004036, -403.3108112215996, -198.90283924341202, -90.95436692237854, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054512524497619E9, 0.0, 2024-01-16 19:27:32.449
4.0, -429.6397069096565, -380.57221949100494, -179.99390506744385, -36.62110036611557, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705451252463772E9, 0.0, 2024-01-16 19:27:32.463
4.0, -337.0098648071289, -386.5560594201088, -183.8235626220703, 34.466917991638184, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705451252463772E9, 0.0, 2024-01-16 19:27:32.463
