%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -607.479429602623, -632.372203707695, -464.585332095623, -331.02602487802505, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706388049076652E9, 0.0, 2024-01-27 15:40:49.076
0.0, -552.6674558520317, -640.7495796084404, -476.5530119538307, -332.70150005817413, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706388049076652E9, 0.0, 2024-01-27 15:40:49.076
1.0, -467.696928858757, -631.8934965133667, -502.88190764188766, -232.41234284639359, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880490912113E9, 0.0, 2024-01-27 15:40:49.091
1.0, -571.3370364308357, -627.5851317644119, -470.56917202472687, -286.5062558054924, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880490912113E9, 0.0, 2024-01-27 15:40:49.091
2.0, -597.6659321188927, -651.2811378836632, -467.2182216644287, -352.5678486227989, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706388049105687E9, 0.0, 2024-01-27 15:40:49.105
2.0, -478.7071943283081, -638.1166900396347, -495.70129972696304, -264.2463712692261, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706388049105687E9, 0.0, 2024-01-27 15:40:49.105
3.0, -534.476582467556, -641.2282868027687, -481.3400838971138, -253.236105799675, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880491065042E9, 0.0, 2024-01-27 15:40:49.106
3.0, -619.2077558636665, -645.0579443573952, -468.65434324741364, -358.3123349547386, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880491065042E9, 0.0, 2024-01-27 15:40:49.106
4.0, -508.3870403766632, -644.3398835659027, -494.7438853383064, -304.2184219956398, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880491200123E9, 0.0, 2024-01-27 15:40:49.120
4.0, -476.7923655509949, -626.3883637785912, -485.4090950489044, -228.1039780974388, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063880491200123E9, 0.0, 2024-01-27 15:40:49.120
