%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -477.51042634248734, -413.36366230249405, -330.06861048936844, -265.2037856578827, 0.0, 0.0, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890308954265E9, 0.0, 2024-01-27 15:57:10.895
0.0, -357.59427416324615, -413.36366230249405, -362.6206997036934, -200.5783144235611, 0.0, 0.0, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890308954265E9, 0.0, 2024-01-27 15:57:10.895
1.0, -381.2902802824974, -416.7146126627922, -369.08324682712555, -174.24941873550415, 0.0, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706389030909305E9, 0.0, 2024-01-27 15:57:10.909
1.0, -476.5530119538307, -401.39598244428635, -319.53705221414566, -243.18325471878052, 0.0, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706389030909305E9, 0.0, 2024-01-27 15:57:10.909
2.0, -391.3431313633919, -404.2682256102562, -339.1640471816063, -219.96595579385757, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309235287E9, 0.0, 2024-01-27 15:57:10.923
2.0, -353.0465558171272, -416.2359054684639, -371.71613639593124, -159.64884930849075, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309235287E9, 0.0, 2024-01-27 15:57:10.923
3.0, -457.4047241806984, -403.7895184159279, -333.8982680439949, -219.72660219669342, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309390929E9, 0.0, 2024-01-27 15:57:10.939
3.0, -420.54427021741867, -386.31670582294464, -310.68096911907196, -234.08781802654266, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309390929E9, 0.0, 2024-01-27 15:57:10.939
4.0, -319.2976986169815, -397.3269712924957, -352.0891414284706, -154.38307017087936, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309396155E9, 0.0, 2024-01-27 15:57:10.939
4.0, -407.14046877622604, -397.80567848682404, -339.40340077877045, -180.233258664608, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309396155E9, 0.0, 2024-01-27 15:57:10.939
5.0, -451.6602378487587, -389.6676561832428, -306.3726043701172, -241.50777953863144, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309538405E9, 0.0, 2024-01-27 15:57:10.953
5.0, -329.58990329504013, -388.94959539175034, -342.2756439447403, -179.27584427595139, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309538405E9, 0.0, 2024-01-27 15:57:10.953
6.0, -363.0994068980217, -405.7043471932411, -355.9187989830971, -164.675274848938, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309546068E9, 0.0, 2024-01-27 15:57:10.954
6.0, -474.6381831765175, -401.87468963861465, -321.4518809914589, -244.61937630176544, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309546068E9, 0.0, 2024-01-27 15:57:10.954
7.0, -376.98191553354263, -398.0450320839882, -342.2756439447403, -220.44466298818588, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309682884E9, 0.0, 2024-01-27 15:57:10.968
7.0, -340.83952236175537, -409.0552975535393, -367.1684180498123, -153.90436297655106, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309682884E9, 0.0, 2024-01-27 15:57:10.968
8.0, -467.9362824559212, -418.3900878429413, -342.2756439447403, -230.2581604719162, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70638903098441E9, 0.0, 2024-01-27 15:57:10.984
8.0, -444.00092273950577, -414.0817230939865, -334.13762164115906, -250.36386263370514, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70638903098441E9, 0.0, 2024-01-27 15:57:10.984
9.0, -332.46214646101, -421.5016846060753, -377.6999763250351, -179.03649067878723, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309845269E9, 0.0, 2024-01-27 15:57:10.984
9.0, -419.10814863443375, -422.69845259189606, -358.7910421490669, -200.81766802072525, 0.11200000531971455, 0.11200000531971455, -0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309845269E9, 0.0, 2024-01-27 15:57:10.984
10.0, -462.90985691547394, -404.98628640174866, -319.53705221414566, -255.15093457698822, 0.11200000531971455, 0.11200000531971455, 0.5600000265985727, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309981425E9, 0.0, 2024-01-27 15:57:10.998
10.0, -335.3343896269798, -393.01860654354095, -343.9511191248894, -177.83972269296646, 0.11200000531971455, 0.11200000531971455, 0.5600000265985727, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063890309981425E9, 0.0, 2024-01-27 15:57:10.998
11.0, -368.3651860356331, -405.46499359607697, -357.354920566082, -167.786871612072, 0.11200000531971455, -0.5600000265985727, 0.5600000265985727, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706389031013804E9, 0.0, 2024-01-27 15:57:11.013
