%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
77.0, -432.03324288129807, -483.9729734659195, -286.5062558054924, -148.3992302417755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508275694056E9, 0.0, 2024-01-16 19:20:27.569
77.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508275694056E9, 0.0, 2024-01-16 19:20:27.569
0.0, -437.77772921323776, -498.0948356986046, -297.75587487220764, -224.75302773714066, 0.0, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276133132E9, 0.0, 2024-01-16 19:20:27.613
0.0, -403.0714576244354, -484.4516806602478, -295.12298530340195, -110.10265469551086, 0.0, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276133132E9, 0.0, 2024-01-16 19:20:27.613
1.0, -310.68096911907196, -500.24901807308197, -319.7764058113098, -73.24220073223114, 0.0, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70545082762726E9, 0.0, 2024-01-16 19:20:27.627
1.0, -395.8908497095108, -503.8393220305443, -313.79256588220596, -206.56215435266495, 0.0, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70545082762726E9, 0.0, 2024-01-16 19:20:27.627
2.0, -432.2725964784622, -478.94654792547226, -282.4372446537018, -150.5534126162529, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276417153E9, 0.0, 2024-01-16 19:20:27.641
2.0, -332.9408536553383, -502.1638468503952, -311.3990299105644, -54.33326655626297, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276417153E9, 0.0, 2024-01-16 19:20:27.641
3.0, -359.26974934339523, -510.30186915397644, -323.12735617160797, -160.60626369714737, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705450827642418E9, 0.0, 2024-01-16 19:20:27.642
3.0, -455.01118820905685, -488.99939900636673, -293.2081565260887, -213.74276226758957, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705450827642418E9, 0.0, 2024-01-16 19:20:27.642
4.0, -355.6794453859329, -487.32392382621765, -294.8836317062378, -67.7370679974556, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276561205E9, 0.0, 2024-01-16 19:20:27.656
4.0, -320.73382019996643, -508.62639397382736, -319.2976986169815, -116.32584822177887, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276561205E9, 0.0, 2024-01-16 19:20:27.656
5.0, -432.5119500756264, -493.54711735248566, -294.4049245119095, -219.2478950023651, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705450827672246E9, 0.0, 2024-01-16 19:20:27.672
5.0, -396.13020330667496, -480.3826695084572, -291.53268134593964, -106.99105793237686, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.705450827672246E9, 0.0, 2024-01-16 19:20:27.672
6.0, -309.9629083275795, -510.0625155568123, -321.4518809914589, -66.30094641447067, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276725888E9, 0.0, 2024-01-16 19:20:27.672
6.0, -401.6353360414505, -508.14768677949905, -311.3990299105644, -202.25378960371017, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276725888E9, 0.0, 2024-01-16 19:20:27.672
7.0, -434.4267788529396, -488.5206918120384, -288.1817309856415, -150.79276621341705, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276862113E9, 0.0, 2024-01-16 19:20:27.686
7.0, -323.12735617160797, -498.0948356986046, -312.5957978963852, -45.47718346118927, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508276862113E9, 0.0, 2024-01-16 19:20:27.686
8.0, -357.11556696891785, -509.583808362484, -322.64864897727966, -162.0423852801323, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508277017386E9, 0.0, 2024-01-16 19:20:27.701
8.0, -448.5486410856247, -492.11099576950073, -297.9952284693718, -206.56215435266495, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508277017386E9, 0.0, 2024-01-16 19:20:27.701
9.0, -363.0994068980217, -493.54711735248566, -299.4313500523567, -65.82223922014236, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508277024238E9, 0.0, 2024-01-16 19:20:27.702
9.0, -325.5208921432495, -512.4560515284538, -326.7176601290703, -117.7619698047638, -0.9760000463575125, -0.9760000463575125, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7054508277024238E9, 0.0, 2024-01-16 19:20:27.702
