%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -384.16252344846725, -326.238952934742, -221.64143097400665, -122.30968815088272, 0.0, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901118890855E9, 0.0, 2024-01-27 16:15:11.889
0.0, -374.82773315906525, -325.5208921432495, -208.71633672714233, -153.90436297655106, 0.0, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901118890855E9, 0.0, 2024-01-27 16:15:11.889
1.0, -288.1817309856415, -346.8233622908592, -255.62964177131653, -85.449234187603, 0.0, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119011707E9, 0.0, 2024-01-27 16:15:11.901
1.0, -354.7220309972763, -338.44598639011383, -239.5929507613182, -103.1614003777504, 0.0, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119011707E9, 0.0, 2024-01-27 16:15:11.901
2.0, -404.02887201309204, -325.28153854608536, -209.4343975186348, -162.5210924744606, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119178307E9, 0.0, 2024-01-27 16:15:11.917
2.0, -308.5267867445946, -335.3343896269798, -236.24200040102005, -103.6401075720787, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119178307E9, 0.0, 2024-01-27 16:15:11.917
3.0, -318.8189914226532, -343.7117655277252, -250.6032162308693, -78.26862627267838, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119186168E9, 0.0, 2024-01-27 16:15:11.918
3.0, -403.3108112215996, -321.21252739429474, -210.3918119072914, -144.3302190899849, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119186168E9, 0.0, 2024-01-27 16:15:11.918
4.0, -332.9408536553383, -322.4092953801155, -209.67375111579895, -132.60189282894135, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119309945E9, 0.0, 2024-01-27 16:15:11.930
4.0, -283.3946590423584, -339.6427543759346, -247.73097306489944, -67.7370679974556, -1.0240000486373901, -1.0240000486373901, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063901119309945E9, 0.0, 2024-01-27 16:15:11.930
